Date,Jumlah Bidan,Jumlah Perawat,Jumlah Dokter Umum,Jumlah Ahli Gizi,AVLOS (Day),BOR (%),GDR (/K),Layanan OBGYN,NDR (/K),TOI (Day),Bayi BBLR,Rasio_BBLR,Persentase_ASI,Rasio_AKI,Rasio_AKB
2020-01,25253.0,55984.0,7907.0,2733.0,,,,732.0,,,24.0,0.0484848484848484,0.669,1.84,1.86
2020-02,25253.0,55984.0,7907.0,2733.0,,,,696.0,,,24.0,0.0484848484848484,0.669,1.84,1.86
2020-03,25253.0,55984.0,7907.0,2733.0,,,,752.0,,,24.0,0.0484848484848484,0.669,1.84,1.86
2020-04,25253.0,55984.0,7907.0,2733.0,,,,460.0,,,49.0,0.0989898989898989,0.669,1.84,1.86
2020-05,25253.0,55984.0,7907.0,2733.0,,,,482.0,,,49.0,0.0989898989898989,0.669,1.84,1.86
2020-06,25253.0,55984.0,7907.0,2733.0,,,,412.0,,,49.0,0.0989898989898989,0.669,1.84,1.86
2020-07,25253.0,55984.0,7907.0,2733.0,,,,266.0,,,42.0,0.0848484848484848,0.669,1.84,1.86
2020-08,25253.0,55984.0,7907.0,2733.0,,,,320.0,,,42.0,0.0848484848484848,0.669,1.84,1.86
2020-09,25253.0,55984.0,7907.0,2733.0,,,,330.0,,,42.0,0.0848484848484848,0.669,1.84,1.86
2020-10,25253.0,55984.0,7907.0,2733.0,,,,322.0,,,33.0,0.0666666666666666,0.669,1.84,1.86
2020-11,25253.0,55984.0,7907.0,2733.0,,,,354.0,,,33.0,0.0666666666666666,0.669,1.84,1.86
2020-12,25253.0,55984.0,7907.0,2733.0,,,,328.0,,,33.0,0.0666666666666666,0.669,1.84,1.86
2021-01,32112.0,55350.0,18919.0,3253.0,3.71,59.41666666666666,89.01333333333332,362.0,38.970000000000006,3.3966666666666665,40.0,0.0808080808080808,0.6960999999999999,2.26,1.8
2021-02,32112.0,55350.0,18919.0,3253.0,3.91,50.88,79.88333333333334,366.0,34.836666666666666,5.04,40.0,0.0808080808080808,0.6960999999999999,2.26,1.8
2021-03,32112.0,55350.0,18919.0,3253.0,3.6033333333333335,53.28,66.42666666666666,392.0,30.74,3.2099999999999995,40.0,0.0808080808080808,0.6960999999999999,2.26,1.8
2021-04,32112.0,55350.0,18919.0,3253.0,3.533333333333333,57.21,54.75,496.0,26.39,3.23,47.0,0.0949494949494949,0.6960999999999999,2.26,1.8
2021-05,32112.0,55350.0,18919.0,3253.0,3.6266666666666665,53.07666666666666,64.96333333333332,438.0,23.7,3.616666666666666,47.0,0.0949494949494949,0.6960999999999999,2.26,1.8
2021-06,32112.0,55350.0,18919.0,3253.0,4.03,57.34,57.79333333333333,400.0,31.616666666666664,3.120000000000001,47.0,0.0949494949494949,0.6960999999999999,2.26,1.8
2021-07,32112.0,55350.0,18919.0,3253.0,4.47,48.20333333333334,141.6266666666667,424.0,93.53666666666668,4.489999999999999,45.0,0.0909090909090909,0.6960999999999999,2.26,1.8
2021-08,32112.0,55350.0,18919.0,3253.0,4.316666666666666,41.84,88.34666666666665,376.0,63.5,5.156666666666667,45.0,0.0909090909090909,0.6960999999999999,2.26,1.8
2021-09,32112.0,55350.0,18919.0,3253.0,3.4,40.41666666666666,49.6,410.0,26.82,5.786666666666666,45.0,0.0909090909090909,0.6960999999999999,2.26,1.8
2021-10,32112.0,55350.0,18919.0,3253.0,3.466666666666667,47.71333333333333,41.443333333333335,544.0,16.13,3.9,60.0,0.1212121212121212,0.6960999999999999,2.26,1.8
2021-11,32112.0,55350.0,18919.0,3253.0,3.3366666666666664,56.376666666666665,45.18333333333334,628.0,22.87,2.84,60.0,0.1212121212121212,0.6960999999999999,2.26,1.8
2021-12,32112.0,55350.0,18919.0,3253.0,3.206666666666667,64.22000000000001,30.695,614.0,19.19333333333333,2.13,60.0,0.1212121212121212,0.6960999999999999,2.26,1.8
2022-01,32370.0,70143.0,13821.0,3884.0,3.2266666666666666,65.67333333333333,45.68,660.0,25.416666666666668,2.335,39.0,0.0787878787878788,0.6972,1.48,1.75
2022-02,32370.0,70143.0,13821.0,3884.0,3.083333333333333,61.22,49.09666666666666,698.0,23.05666666666667,3.465,39.0,0.0787878787878788,0.6972,1.48,1.75
2022-03,32370.0,70143.0,13821.0,3884.0,3.2133333333333334,63.99,48.09666666666666,580.0,19.91333333333333,3.26,39.0,0.0787878787878788,0.6972,1.48,1.75
2022-04,32370.0,70143.0,13821.0,3884.0,3.1766666666666663,56.53666666666667,42.376666666666665,586.0,22.863333333333333,3.65,45.0,0.0909090909090909,0.6972,1.48,1.75
2022-05,32370.0,70143.0,13821.0,3884.0,3.1966666666666668,64.18666666666667,50.76666666666667,542.0,26.953333333333333,3.13,45.0,0.0909090909090909,0.6972,1.48,1.75
2022-06,32370.0,70143.0,13821.0,3884.0,3.15,65.39666666666666,41.14666666666667,668.0,20.66,2.26,45.0,0.0909090909090909,0.6972,1.48,1.75
2022-07,32370.0,70143.0,13821.0,3884.0,3.1633333333333336,58.99333333333334,45.73666666666667,598.0,17.080000000000002,3.4,49.0,0.0989898989898989,0.6972,1.48,1.75
2022-08,32370.0,70143.0,13821.0,3884.0,3.33,67.5,38.82333333333333,742.0,17.326666666666668,2.455,49.0,0.0989898989898989,0.6972,1.48,1.75
2022-09,32370.0,70143.0,13821.0,3884.0,3.1166666666666667,64.76,46.89333333333334,750.0,20.50333333333333,2.34,49.0,0.0989898989898989,0.6972,1.48,1.75
2022-10,32370.0,70143.0,13821.0,3884.0,3.2099999999999995,66.74666666666667,44.57,746.0,21.33333333333333,2.46,44.0,0.0888888888888888,0.6972,1.48,1.75
2022-11,32370.0,70143.0,13821.0,3884.0,3.1733333333333333,67.77666666666667,40.57,736.0,24.066666666666663,2.41,44.0,0.0888888888888888,0.6972,1.48,1.75
2022-12,32370.0,70143.0,13821.0,3884.0,3.2099999999999995,69.97666666666667,49.76666666666667,682.0,26.416666666666668,2.42,44.0,0.0888888888888888,0.6972,1.48,1.75
2023-01,,,,,3.1733333333333333,68.95666666666666,37.25333333333333,768.0,20.78,1.74,47.0,0.0949494949494949,0.7268000000000001,1.4,1.69
2023-02,,,,,3.0400000000000005,72.38,36.7,602.0,18.39333333333333,1.2,47.0,0.0949494949494949,0.7268000000000001,1.4,1.69
2023-03,,,,,2.9433333333333334,74.73,37.11000000000001,734.0,19.206666666666667,1.1,47.0,0.0949494949494949,0.7268000000000001,1.4,1.69
2023-04,,,,,2.686666666666667,63.06666666666666,38.5,662.0,21.49,2.0733333333333337,37.0,0.0747474747474747,0.7268000000000001,1.4,1.69
2023-05,,,,,3.1666666666666665,75.89333333333333,32.65,776.0,19.4,1.13,37.0,0.0747474747474747,0.7268000000000001,1.4,1.69
