nama_kabupaten_kota,indeks_kesehatan,jumlah_bayi_bblr,jumlah_kematian_ibu,jumlahpersalinandi_fasilitas_kesehatan,persentase_balita_gizi_buruk,prev_balita_gizi_kurang,JUMLAH TENAGA BIDAN,JUMLAH TENAGA DOKTER UMUM,JUMLAH TENAGA GIZI,JUMLAH TENAGA PERAWAT,BALITA GIZI KURANG  BB U,BALITA KURUS  BB TB,BALITA PENDEK TB U,KELAS A,KELAS B,KELAS C,KELAS D,Cluster
KABUPATEN BANYUWANGI,0.832769,1180.0,28.0,26935.0,4.7,2.5,1161.0,342.0,104.0,1958.0,25647.0,14177.0,15514.0,0.0,1.0,7.0,5.0,2
KABUPATEN BOJONEGORO,0.844769,1066.0,11.0,21248.0,7.1,5.0,1059.0,240.0,85.0,1577.0,33544.0,23470.0,9658.0,0.0,1.0,5.0,5.0,2
KABUPATEN BONDOWOSO,0.820154,1206.0,22.0,14299.0,8.2,5.2,717.0,100.0,67.0,1223.0,22560.0,14981.0,17127.0,0.0,1.0,2.0,1.0,2
KABUPATEN GRESIK,0.838154,779.0,15.0,25500.0,7.7,5.0,1265.0,489.0,109.0,2350.0,37672.0,23872.0,29010.0,0.0,2.0,7.0,11.0,2
KABUPATEN JEMBER,0.833385,2711.0,43.0,48289.0,13.3,9.6,1637.0,436.0,209.0,2973.0,117857.0,83732.0,71052.0,0.0,2.0,11.0,1.0,0
KABUPATEN JOMBANG,0.840615,1088.0,23.0,23252.0,11.6,9.1,1297.0,279.0,145.0,1911.0,57042.0,44054.0,25029.0,0.0,1.0,4.0,10.0,0
KABUPATEN LAMONGAN,0.847231,957.0,10.0,20506.0,7.9,5.8,1240.0,363.0,95.0,2441.0,29976.0,22012.0,17999.0,0.0,2.0,8.0,9.0,2
KABUPATEN LUMAJANG,0.839538,950.0,13.0,18542.0,8.3,4.8,799.0,204.0,99.0,1538.0,34095.0,19513.0,20149.0,0.0,1.0,5.0,2.0,2
KABUPATEN MAGETAN,0.852615,360.0,10.0,9106.0,11.4,5.8,578.0,129.0,54.0,932.0,24352.0,12102.0,18625.0,0.0,0.0,5.0,1.0,2
KABUPATEN NGANJUK,0.840615,664.0,10.0,16547.0,9.5,5.7,809.0,206.0,65.0,1288.0,36632.0,22232.0,21588.0,0.0,1.0,2.0,1.0,2
KABUPATEN NGAWI,0.849385,369.0,3.0,14412.0,14.6,8.6,740.0,184.0,88.0,1353.0,40557.0,23785.0,32552.0,0.0,0.0,3.0,2.0,2
