Date,Jumlah Bidan,Jumlah Perawat,Jumlah Dokter Umum,Jumlah Ahli Gizi,AVLOS (Day),BOR (%),GDR (/K),Layanan OBGYN,NDR (/K),TOI (Day),Bayi BBLR,Rasio_BBLR,Persentase_ASI,Rasio_AKI,Rasio_AKB,days_in_month,HI,BTO_month,IdleShare,EDR,ASI_gap_target,BOR_status,TOI_status,Capacity_alert,BOR (%)_fc_lower,BOR (%)_fc_upper,AVLOS (Day)_fc_lower,AVLOS (Day)_fc_upper,NDR (/K)_fc_lower,NDR (/K)_fc_upper,GDR (/K)_fc_lower,GDR (/K)_fc_upper,TOI (Day)_fc_lower,TOI (Day)_fc_upper,Rasio_AKI_fc_lower,Rasio_AKI_fc_upper,Rasio_AKB_fc_lower,Rasio_AKB_fc_upper,Rasio_BBLR_fc_lower,Rasio_BBLR_fc_upper
2020-01-01,25253.0,55984.0,7907.0,2733.0,,,,732.0,,,24.0,0.0484848484848484,0.669,1.84,1.86,31.0,,,,,-79.331,,,0.0,,,,,,,,,,,,,,,,
2020-02-01,25253.0,55984.0,7907.0,2733.0,,,,696.0,,,24.0,0.0484848484848484,0.669,1.84,1.86,29.0,,,,,-79.331,,,0.0,,,,,,,,,,,,,,,,
2020-03-01,25253.0,55984.0,7907.0,2733.0,,,,752.0,,,24.0,0.0484848484848484,0.669,1.84,1.86,31.0,,,,,-79.331,,,0.0,,,,,,,,,,,,,,,,
2020-04-01,25253.0,55984.0,7907.0,2733.0,,,,460.0,,,49.0,0.0989898989898989,0.669,1.84,1.86,30.0,,,,,-79.331,,,0.0,,,,,,,,,,,,,,,,
2020-05-01,25253.0,55984.0,7907.0,2733.0,,,,482.0,,,49.0,0.0989898989898989,0.669,1.84,1.86,31.0,,,,,-79.331,,,0.0,,,,,,,,,,,,,,,,
2020-06-01,25253.0,55984.0,7907.0,2733.0,,,,412.0,,,49.0,0.0989898989898989,0.669,1.84,1.86,30.0,,,,,-79.331,,,0.0,,,,,,,,,,,,,,,,
2020-07-01,25253.0,55984.0,7907.0,2733.0,,,,266.0,,,42.0,0.0848484848484848,0.669,1.84,1.86,31.0,,,,,-79.331,,,0.0,,,,,,,,,,,,,,,,
2020-08-01,25253.0,55984.0,7907.0,2733.0,,,,320.0,,,42.0,0.0848484848484848,0.669,1.84,1.86,31.0,,,,,-79.331,,,0.0,,,,,,,,,,,,,,,,
2020-09-01,25253.0,55984.0,7907.0,2733.0,,,,330.0,,,42.0,0.0848484848484848,0.669,1.84,1.86,30.0,,,,,-79.331,,,0.0,,,,,,,,,,,,,,,,
2020-10-01,25253.0,55984.0,7907.0,2733.0,,,,322.0,,,33.0,0.0666666666666666,0.669,1.84,1.86,31.0,,,,,-79.331,,,0.0,,,,,,,,,,,,,,,,
